pressure temperature CH4 H2S 
0.0492934 55.0155 0.000573859 3.71642e-15 
0.0480462 55.1162 0.000611968 4.17106e-15 
0.0468305 55.217 0.000652514 4.67981e-15 
0.0456456 55.3177 0.000695649 5.24888e-15 
0.0444907 55.4265 0.00074379 5.92694e-15 
0.043365 55.571 0.000805944 6.90315e-15 
0.0422678 55.7156 0.000873042 8.03485e-15 
0.0411984 55.8602 0.000945461 9.34597e-15 
0.040156 56.0048 0.0010236 1.0864e-14 
0.03914 56.1493 0.0011079 1.26205e-14 
0.0381497 56.2939 0.0011988 1.46516e-14 
0.0371845 56.4385 0.00129681 1.69988e-14 
0.0362436 56.583 0.00140245 1.97097e-14 
0.0353266 56.7298 0.00140245 1.97097e-14 
0.0344328 56.8856 0.00140245 1.97097e-14 
0.0335616 57.0415 0.00140245 1.97097e-14 
0.0327124 57.1973 0.00140245 1.97097e-14 
0.0318848 57.3532 0.00140245 1.97097e-14 
0.031078 57.509 0.00140245 1.97097e-14 
0.0302917 57.6649 0.00140245 1.97097e-14 
0.0295253 57.8207 0.00140245 1.97097e-14 
0.0287782 57.9766 0.00140245 1.97097e-14 
0.0280501 58.1555 0.00140245 1.97097e-14 
0.0273404 58.4227 0.00140245 1.97097e-14 
0.0266486 58.6898 0.00140245 1.97097e-14 
0.0259744 58.9569 0.00140245 1.97097e-14 
0.0253172 59.224 0.00140245 1.97097e-14 
0.0246766 59.4911 0.00140245 1.97097e-14 
0.0240523 59.7582 0.00140245 1.97097e-14 
0.0234437 60.0253 0.00140245 1.97097e-14 
0.0228506 60.2924 0.00140245 1.97097e-14 
0.0222724 60.5597 0.00140245 1.97097e-14 
0.0217089 60.8272 0.00140245 1.97097e-14 
0.0211596 61.0948 0.00140245 1.97097e-14 
0.0206242 61.3624 0.00140245 1.97097e-14 
0.0201024 61.63 0.00140245 1.97097e-14 
0.0195938 61.8975 0.00140245 1.97097e-14 
0.019098 62.1651 0.00140245 1.97097e-14 
0.0186148 62.4327 0.00140245 1.97097e-14 
0.0181438 62.7002 0.00140245 1.97097e-14 
0.0176848 63.0059 0.00140245 1.97097e-14 
0.0172373 63.4238 0.00140245 1.97097e-14 
0.0168012 63.8417 0.00140245 1.97097e-14 
0.0163761 64.2597 0.00140245 1.97097e-14 
0.0159617 64.6776 0.00140245 1.97097e-14 
0.0155579 65.0955 0.00140245 1.97097e-14 
0.0151642 65.5134 0.00140245 1.97097e-14 
0.0147806 65.9313 0.00140245 1.97097e-14 
0.0144066 66.3492 0.00140245 1.97097e-14 
0.0140421 66.7697 0.00140245 1.97097e-14 
0.0136868 67.2038 0.00140245 1.97097e-14 
0.0133405 67.6378 0.00140245 1.97097e-14 
0.013003 68.0719 0.00140245 1.97097e-14 
0.012674 68.506 0.00140245 1.97097e-14 
0.0123533 68.94 0.00140245 1.97097e-14 
0.0120407 69.3741 0.00140245 1.97097e-14 
0.0117361 69.8081 0.00140245 1.97097e-14 
0.0114391 70.2422 0.00140245 1.97097e-14 
0.0111497 70.6826 0.00140245 1.97097e-14 
0.0108676 71.1532 0.00140245 1.97097e-14 
0.0105926 71.6237 0.00140245 1.97097e-14 
0.0103246 72.0943 0.00140245 1.97097e-14 
0.0100634 72.5648 0.00140245 1.97097e-14 
0.00980878 73.0354 0.00140245 1.97097e-14 
0.0095606 73.506 0.00140245 1.97097e-14 
0.0093187 73.9765 0.00140245 1.97097e-14 
0.00908293 74.4471 0.00140245 1.97097e-14 
0.00885311 74.995 0.00140245 1.97097e-14 
0.00862911 75.7753 0.00140245 1.97097e-14 
0.00841078 76.5556 0.00140245 1.97097e-14 
0.00819797 77.3359 0.00140245 1.97097e-14 
0.00799055 78.1162 0.00140245 1.97097e-14 
0.00778838 78.8965 0.00140245 1.97097e-14 
0.00759132 79.6768 0.00140245 1.97097e-14 
0.00739925 80.4571 0.00140245 1.97097e-14 
0.00721204 81.2374 0.00140245 1.97097e-14 
0.00702956 82.0415 0.00140245 1.97097e-14 
0.0068517 82.907 0.00140245 1.97097e-14 
0.00667834 83.7726 0.00140245 1.97097e-14 
0.00650937 84.6381 0.00140245 1.97097e-14 
0.00634467 85.5037 0.00140245 1.97097e-14 
0.00618414 86.3692 0.00140245 1.97097e-14 
0.00602767 87.2348 0.00140245 1.97097e-14 
0.00587517 88.1003 0.00140245 1.97097e-14 
0.00572651 88.9659 0.00140245 1.97097e-14 
0.00558162 89.8506 0.00140245 1.97097e-14 
0.0054404 90.7878 0.00140245 1.97097e-14 
0.00530275 91.725 0.00140245 1.97097e-14 
0.00516858 92.6622 0.00140245 1.97097e-14 
0.00503781 93.5994 0.00140245 1.97097e-14 
0.00491034 94.5366 0.00140245 1.97097e-14 
0.0047861 95.4738 0.00140245 1.97097e-14 
0.00466501 96.411 0.00140245 1.97097e-14 
0.00454697 97.3482 0.00140245 1.97097e-14 
0.00443193 98.2854 0.00140245 1.97097e-14 
0.00431979 98.9381 0.00140245 1.97097e-14 
0.0042105 99.2444 0.00140245 1.97097e-14 
0.00410396 99.5508 0.00140245 1.97097e-14 
0.00400013 99.8571 0.00140245 1.97097e-14 
0.00389892 100.163 0.00140245 1.97097e-14 
0.00380027 100.47 0.00140245 1.97097e-14 
0.00370412 100.776 0.00140245 1.97097e-14 
0.0036104 101.082 0.00140245 1.97097e-14 
0.00351904 101.389 0.00140245 1.97097e-14 
0.00343001 101.695 0.00140245 1.97097e-14 
0.00334322 102.005 0.00140245 1.97097e-14 
0.00325863 102.316 0.00140245 1.97097e-14 
0.00317619 102.627 0.00140245 1.97097e-14 
0.00309582 102.938 0.00140245 1.97097e-14 
0.00301749 103.25 0.00140245 1.97097e-14 
0.00294115 103.561 0.00140245 1.97097e-14 
0.00286673 103.872 0.00140245 1.97097e-14 
0.0027942 104.183 0.00140245 1.97097e-14 
0.0027235 104.495 0.00140245 1.97097e-14 
0.00265459 104.81 0.00140245 1.97097e-14 
0.00258743 105.126 0.00140245 1.97097e-14 
0.00252196 105.443 0.00140245 1.97097e-14 
0.00245815 105.759 0.00140245 1.97097e-14 
0.00239596 106.076 0.00140245 1.97097e-14 
0.00233534 106.393 0.00140245 1.97097e-14 
0.00227625 106.709 0.00140245 1.97097e-14 
0.00221865 107.026 0.00140245 1.97097e-14 
0.00216252 107.345 0.00140245 1.97097e-14 
0.0021078 107.675 0.00140245 1.97097e-14 
0.00205447 108.005 0.00140245 1.97097e-14 
0.00200249 108.336 0.00140245 1.97097e-14 
0.00195182 108.666 0.00140245 1.97097e-14 
0.00190244 108.997 0.00140245 1.97097e-14 
0.00185431 109.327 0.00140245 1.97097e-14 
0.00180739 109.657 0.00140245 1.97097e-14 
0.00176166 109.988 0.00140245 1.97097e-14 
0.00171709 110.321 0.00140245 1.97097e-14 
0.00167364 110.654 0.00140245 1.97097e-14 
0.0016313 110.987 0.00140245 1.97097e-14 
0.00159002 111.321 0.00140245 1.97097e-14 
0.00154979 111.654 0.00140245 1.97097e-14 
0.00151058 111.987 0.00140245 1.97097e-14 
0.00147236 112.32 0.00140245 1.97097e-14 
0.0014351 112.654 0.00140245 1.97097e-14 
0.00139879 113.008 0.00140245 1.97097e-14 
0.0013634 113.365 0.00140245 1.97097e-14 
0.00132891 113.723 0.00140245 1.97097e-14 
0.00129528 114.081 0.00140245 1.97097e-14 
0.00126251 114.438 0.00140245 1.97097e-14 
0.00123057 114.796 0.00140245 1.97097e-14 
0.00119943 115.153 0.00140245 1.97097e-14 
0.00116908 115.511 0.00140245 1.97097e-14 
0.0011395 115.862 0.00140245 1.97097e-14 
0.00111067 116.214 0.00140245 1.97097e-14 
0.00108257 116.566 0.00140245 1.97097e-14 
0.00105518 116.917 0.00140245 1.97097e-14 
0.00102848 117.269 0.00140245 1.97097e-14 
0.00100246 117.62 0.00140245 1.97097e-14 
0.000977097 117.972 0.00140245 1.97097e-14 
0.000952375 118.326 0.00140245 1.97097e-14 
0.000928279 118.684 0.00140245 1.97097e-14 
0.000904791 119.041 0.00140245 1.97097e-14 
0.000881898 119.399 0.00140245 1.97097e-14 
0.000859585 119.757 0.00140245 1.97097e-14 
0.000837836 120.115 0.00140245 1.97097e-14 
0.000816637 120.472 0.00140245 1.97097e-14 
0.000795975 120.83 0.00140245 1.97097e-14 
0.000775836 121.193 0.00140245 1.97097e-14 
0.000756206 121.557 0.00140245 1.97097e-14 
0.000737073 121.922 0.00140245 1.97097e-14 
0.000718424 122.286 0.00140245 1.97097e-14 
0.000700246 122.65 0.00140245 1.97097e-14 
0.000682529 123.015 0.00140245 1.97097e-14 
0.00066526 123.379 0.00140245 1.97097e-14 
0.000648428 123.754 0.00140245 1.97097e-14 
0.000632022 124.144 0.00140245 1.97097e-14 
0.000616031 124.534 0.00140245 1.97097e-14 
0.000600444 124.924 0.00140245 1.97097e-14 
0.000585252 125.315 0.00140245 1.97097e-14 
0.000570444 125.705 0.00140245 1.97097e-14 
0.000556011 126.095 0.00140245 1.97097e-14 
0.000541943 126.483 0.00140245 1.97097e-14 
0.000528231 126.862 0.00140245 1.97097e-14 
0.000514866 127.241 0.00140245 1.97097e-14 
0.000501839 127.619 0.00140245 1.97097e-14 
0.000489141 127.998 0.00140245 1.97097e-14 
0.000476765 128.377 0.00140245 1.97097e-14 
0.000464702 128.756 0.00140245 1.97097e-14 
0.000452945 129.137 0.00140245 1.97097e-14 
0.000441485 129.54 0.00140245 1.97097e-14 
0.000430314 129.943 0.00140245 1.97097e-14 
0.000419427 130.346 0.00140245 1.97097e-14 
0.000408815 130.75 0.00140245 1.97097e-14 
0.000398471 131.153 0.00140245 1.97097e-14 
0.000388389 131.556 0.00140245 1.97097e-14 
0.000378562 131.958 0.00140245 1.97097e-14 
0.000368984 132.354 0.00140245 1.97097e-14 
0.000359648 132.749 0.00140245 1.97097e-14 
0.000350548 133.145 0.00140245 1.97097e-14 
0.000341679 133.54 0.00140245 1.97097e-14 
0.000333034 133.936 0.00140245 1.97097e-14 
