pressure temperature CH4 H2S H2 He
7.11148 146.418 0.0397299 9.61029e-06 0.7778265653349001 0.1824531449551 
6.93155 145.108 0.03973 8.05143e-06 0.7778252216583 0.1824528297717 
6.75615 143.808 0.0397301 6.7298e-06 0.7778240701380001 0.18245255966200002 
6.58521 142.516 0.0397301 5.61209e-06 0.7778231647929001 0.18245234729710003 
6.4186 141.232 0.0397301 4.66903e-06 0.7778224009143 0.1824521681157 
6.2562 139.958 0.0397302 3.87519e-06 0.7778216769039 0.18245199828609998 
6.0979 138.693 0.0397302 3.2086e-06 0.7778211369660001 0.182451871634 
5.94362 137.436 0.0397302 2.65023e-06 0.7778206846863001 0.1824517655437 
5.79324 136.189 0.0397302 2.18365e-06 0.7778203067565 0.1824516768935 
5.64666 134.95 0.0397302 1.79474e-06 0.7778199917394 0.18245160300059998 
5.50379 133.719 0.0397303 1.47139e-06 0.7778196488259 0.1824515225641 
5.36453 132.498 0.0397303 1.20324e-06 0.7778194316244 0.1824514716156 
5.2288 131.285 0.0397303 9.81429e-07 0.77781925195749 0.18245142947151 
5.09651 130.081 0.0397303 7.98432e-07 0.77781910372992 0.18245139470208 
4.96756 128.885 0.0397303 6.4785e-07 0.7778189817585001 0.1824513660915 
4.84187 127.698 0.0397303 5.24274e-07 0.77781888166194 0.18245134261206 
4.71936 126.52 0.0397303 4.2313e-07 0.7778187997353001 0.18245132339470002 
4.59996 125.35 0.0397303 3.40573e-07 0.7778187328641301 0.18245130770887 
4.48357 124.189 0.0397303 2.73372e-07 0.7778186784313201 0.18245129494068002 
4.37013 123.037 0.0397303 2.18823e-07 0.7778186342466301 0.18245128457637003 
4.25956 121.892 0.0397303 1.74667e-07 0.77781859848027 0.18245127618673 
4.15178 120.757 0.0397303 1.39027e-07 0.7778185696118701 0.18245126941513 
4.04674 119.63 0.0397303 1.10343e-07 0.77781854637783 0.18245126396517 
3.94435 118.511 0.0397303 8.73232e-08 0.777818527731792 0.182451259591408 
3.84455 117.401 0.0397303 6.8904e-08 0.77781851281224 0.18245125609176 
3.74728 116.3 0.0397303 5.42095e-08 0.7778185009096951 0.182451253299805 
3.65247 115.206 0.0397303 4.25214e-08 0.7778184914423341 0.18245125107906598 
3.56005 114.122 0.0397303 3.32529e-08 0.7778184839348491 0.182451249318051 
3.46998 113.045 0.0397303 2.59256e-08 0.777818477999736 0.182451247925864 
3.38218 111.977 0.0397303 2.01506e-08 0.7778184733219861 0.182451246828614 
3.29661 110.919 0.0397303 1.79883e-08 0.777818471570523 0.182451246417777 
3.2132 109.868 0.0383089 1.60284e-08 0.7789698039830041 0.18272131204539602 
3.1319 108.826 0.0372062 1.44746e-08 0.779862989724426 0.182930824750174 
3.05266 107.793 0.0361085 1.30525e-08 0.780752125572525 0.183139387479975 
2.97542 106.768 0.0350206 1.17525e-08 0.7816333235195251 0.18334608823297502 
2.90014 105.752 0.0339427 1.05655e-08 0.782506421558055 0.183550889007445 
2.82676 104.744 0.032875 9.48306e-09 0.7833712576812787 0.1837537518017814 
2.75524 103.745 0.0318178 8.49719e-09 0.7842275888827239 0.1839546196144661 
2.68552 102.753 0.0307714 7.60042e-09 0.7850751721563403 0.1841534354440798 
2.61757 101.77 0.0297362 6.78602e-09 0.7859136834966762 0.1843501232893438 
2.55135 100.796 0.0287124 6.04743e-09 0.7867429608984183 0.1845446451490117 
2.48679 99.8288 0.0277002 5.3786e-09 0.7875628423566661 0.18473696302193401 
2.42387 98.8702 0.0267002 4.77392e-09 0.7883728418668753 0.18492696290704483 
2.36254 97.9196 0.0257124 4.22814e-09 0.7891729594247935 0.1851146448033466 
2.30277 96.9769 0.0247375 3.73642e-09 0.7899626280265002 0.1852998757099198 
2.24451 96.0422 0.0237756 3.2942e-09 0.7907417666683021 0.185482636625898 
2.18772 95.1153 0.0228272 2.89726e-09 0.7915099703467806 0.18566283255047938 
2.13236 94.1963 0.0218927 2.54169e-09 0.7922669150587689 0.1858403874829211 
2.07841 93.285 0.0209725 2.22385e-09 0.7930122768013186 0.18601522542253152 
2.02582 92.3815 0.020067 1.94037e-09 0.7937457315716997 0.18618727036867028 
1.97457 91.4856 0.0191766 1.68814e-09 0.7944669553673934 0.1863564463207466 
1.92461 90.5974 0.0183019 1.46425e-09 0.7951754621860426 0.1865226392782075 
1.87591 89.7167 0.0174433 1.26604e-09 0.7958709280254924 0.1866857732405476 
1.82845 88.8436 0.0166012 1.09104e-09 0.7965530288837425 0.18684577220729762 
1.78219 87.978 0.0157763 9.36973e-10 0.7972211977589483 0.1870025031780249 
1.73709 87.1198 0.0149689 8.01751e-10 0.7978751916494184 0.1871559091523327 
1.69314 86.2689 0.0141796 6.83444e-10 0.7985145245535897 0.18730587612985436 
1.6503 85.4254 0.013409 5.80288e-10 0.7991387104700334 0.18745229011025472 
1.60855 84.5892 0.0126577 4.90658e-10 0.799747263397433 0.187595037093225 
1.56785 83.7603 0.0119261 4.13073e-10 0.8003398593345892 0.18773404107848388 
1.52818 82.9386 0.0112148 3.4618e-10 0.8009160122804059 0.1878691880657742 
1.48952 82.124 0.0105243 2.88745e-10 0.8014753172338835 0.18800038305486155 
1.45183 81.3165 0.00985534 2.39646e-10 0.8020171747941133 0.18812748544553273 
1.41509 80.5161 0.0092083 1.97869e-10 0.802541277160274 0.18825042303759512 
1.37929 79.7227 0.00858374 1.62495e-10 0.803047170731621 0.18836908943087408 
1.34439 78.9364 0.00798217 1.32695e-10 0.803534442407483 0.18848338772521203 
1.31038 78.1569 0.00740404 1.07726e-10 0.8040027276872582 0.18859323242046797 
1.27722 77.3844 0.0068498 8.6926e-11 0.8044516620704101 0.18869853801651595 
1.24491 76.6187 0.00631982 6.96993e-11 0.8048809458564564 0.18879923421324285 
1.21341 75.8598 0.00581442 5.55221e-11 0.805290319844973 0.1888952602105492 
1.18271 75.1077 0.00533388 4.39303e-11 0.8056795572355836 0.18898656280834675 
1.15278 74.3623 0.00487836 3.45168e-11 0.8060485284279587 0.1890731116065582 
1.12362 73.6237 0.00444796 2.69264e-11 0.8063971524218104 0.189154887605116 
1.09519 72.8916 0.00404266 2.08504e-11 0.806725445416889 0.1892318946039616 
1.06748 72.1662 0.0036624 1.60245e-11 0.8070334560129799 0.18930414400304466 
1.04047 71.4474 0.00330692 1.22212e-11 0.8073213948098993 0.18937168520232203 
1.01414 70.7351 0.00297591 9.24794e-12 0.8075895129074909 0.18943457710175712 
0.988482 70.0294 0.0026689 6.94276e-12 0.8078381910056237 0.18949290900131913 
0.963471 69.6519 0.00250234 5.77877e-12 0.8079731046046809 0.18952455540109797 
0.939094 69.2744 0.00234386 4.79896e-12 0.8081014734038872 0.1895546666009118 
0.915334 68.8969 0.00219324 3.97605e-12 0.8082234756032206 0.18958328440075545 
0.892174 68.5194 0.00205021 3.28652e-12 0.8083393299026621 0.18961046010062443 
0.869601 68.1625 0.00192445 2.74277e-12 0.8084411955022217 0.18963435450052113 
0.847599 67.8068 0.00180523 2.28553e-12 0.8085377637018513 0.18965700630043425 
0.826153 67.451 0.0016918 1.90034e-12 0.8086296420015393 0.18967855800036107 
0.80525 67.0953 0.00158397 1.57655e-12 0.808716984301277 0.18969904570029955 
0.784876 66.7286 0.00147734 1.29632e-12 0.80880335460105 0.1897193054002463 
0.765017 66.3486 0.00137159 1.05463e-12 0.8088890121008543 0.1897393979002004 
0.745661 65.9686 0.00127194 8.55719e-13 0.8089697286006933 0.1897583314001626 
